section Arc ahead  
section amcl_linear_Y_ahead  
W_X 11.3889 W_Y 0.0050651 A 176.952  All_adjust-0.0101717 OX 11.8754 O_Y -0.0447427 
W_X 11.3643 W_Y 0.00637388 A 176.952  All_adjust0.00490208 OX 11.6049 O_Y -0.0507638 
W_X 11.3397 W_Y 0.00768243 A 176.952  All_adjust0.00136172 OX 11.5803 O_Y -0.0507346 
W_X 11.3151 W_Y 0.00899098 A 176.952  All_adjust0.00155802 OX 11.5557 O_Y -0.0507054 
W_X 11.266 W_Y 0.011608 A 176.952  All_adjust0.0022646 OX 11.5065 O_Y -0.0506471 
W_X 11.2403 W_Y 0.0129747 A 176.952  All_adjust0.00206487 OX 11.4807 O_Y -0.0506167 
W_X 11.2141 W_Y 0.0143706 A 176.952  All_adjust0.00238126 OX 11.4545 O_Y -0.0505855 
W_X 11.1881 W_Y 0.0135131 A 177.059  All_adjust0.0017095 OX 11.4271 O_Y -0.0505531 
W_X 11.1623 W_Y 0.0114154 A 177.219  All_adjust0.00127746 OX 11.3992 O_Y -0.0505201 
W_X 11.1333 W_Y 0.0128225 A 177.219  All_adjust0.00242889 OX 11.3702 O_Y -0.0504857 
W_X 11.1044 W_Y 0.0142287 A 177.219  All_adjust0.00235923 OX 11.3412 O_Y -0.0504514 
W_X 11.0732 W_Y 0.0157432 A 177.219  All_adjust0.00261246 OX 11.31 O_Y -0.0504144 
W_X 11.0415 W_Y 0.0172818 A 177.219  All_adjust0.00284039 OX 11.2783 O_Y -0.0503768 
W_X 11.0099 W_Y 0.0188205 A 177.219  All_adjust0.00306926 OX 11.2466 O_Y -0.0503392 
W_X 10.9443 W_Y 0.0220048 A 177.219  All_adjust0.00394186 OX 11.181 O_Y -0.0502615 
W_X 10.9112 W_Y 0.0226799 A 177.238  All_adjust0.00330927 OX 11.1475 O_Y -0.0502218 
W_X 10.8782 W_Y 0.01905 A 177.342  All_adjust0.00193232 OX 11.1131 O_Y -0.050181 
W_X 10.8431 W_Y 0.0192883 A 177.369  All_adjust0.00324084 OX 11.0776 O_Y -0.050139 
W_X 10.8065 W_Y 0.0209706 A 177.369  All_adjust0.00353028 OX 11.0409 O_Y -0.0500955 
W_X 10.7694 W_Y 0.022678 A 177.369  All_adjust0.00367688 OX 11.0037 O_Y -0.0500514 
W_X 10.7322 W_Y 0.0243853 A 177.369  All_adjust0.00393098 OX 10.9665 O_Y -0.0500074 
W_X 10.6557 W_Y 0.0279 A 177.369  All_adjust0.00489192 OX 10.8899 O_Y -0.0499166 
W_X 10.6171 W_Y 0.0292411 A 177.39  All_adjust0.00442687 OX 10.8511 O_Y -0.0498706 
W_X 10.5785 W_Y 0.02808 A 177.521  All_adjust0.00382603 OX 10.8117 O_Y -0.0498239 
W_X 10.5389 W_Y 0.0289402 A 177.558  All_adjust0.00464037 OX 10.7718 O_Y -0.0497766 
W_X 10.4973 W_Y 0.0307115 A 177.558  All_adjust0.00496302 OX 10.7302 O_Y -0.0497274 
W_X 10.4558 W_Y 0.0324828 A 177.558  All_adjust0.00515583 OX 10.6886 O_Y -0.0496781 
W_X 10.3717 W_Y 0.0360708 A 177.558  All_adjust0.00613005 OX 10.6044 O_Y -0.0495783 
W_X 10.3305 W_Y 0.0358773 A 177.632  All_adjust0.00504811 OX 10.5612 O_Y -0.0495271 
W_X 10.2897 W_Y 0.0346916 A 177.737  All_adjust0.00493464 OX 10.5174 O_Y -0.0494752 
W_X 10.2455 W_Y 0.0364398 A 177.737  All_adjust0.00598042 OX 10.4731 O_Y -0.0494228 
W_X 10.2007 W_Y 0.0382108 A 177.737  All_adjust0.00601681 OX 10.4283 O_Y -0.0493696 
W_X 10.1566 W_Y 0.0365817 A 177.805  All_adjust0.00495459 OX 10.3834 O_Y -0.0493165 
W_X 10.1119 W_Y 0.0297881 A 177.972  All_adjust0.00296808 OX 10.3369 O_Y -0.0492614 
W_X 10.0649 W_Y 0.0311823 A 177.977  All_adjust0.00555546 OX 10.2899 O_Y -0.0492056 
W_X 10.0173 W_Y 0.0328622 A 177.977  All_adjust0.00522095 OX 10.2423 O_Y -0.0491492 
W_X 9.9694 W_Y 0.0335235 A 177.999  All_adjust0.00505286 OX 10.1936 O_Y -0.0490915 
section back liner  
W_X 9.24315 W_Y 0.0162927 A 179.237  All_adjust-0.00174438 OX 10.0956 O_Y -0.0489755 
W_X 9.19337 W_Y 0.0169555 A 179.237  All_adjust0.00408084 OX 9.39935 O_Y -0.049739 
W_X 9.1436 W_Y 0.0176181 A 179.237  All_adjust0.00274873 OX 9.34957 O_Y -0.0500338 
W_X 9.09319 W_Y 0.0189609 A 179.24  All_adjust0.00311338 OX 9.2998 O_Y -0.0503286 
W_X 9.04308 W_Y 0.0199857 A 179.241  All_adjust0.00313638 OX 9.25002 O_Y -0.0506234 
W_X 8.94355 W_Y 0.0213045 A 179.241  All_adjust0.00343022 OX 9.15049 O_Y -0.0512129 
W_X 8.89375 W_Y 0.0219643 A 179.241  All_adjust0.0033475 OX 9.10069 O_Y -0.0515078 
W_X 8.84378 W_Y 0.0190042 A 179.331  All_adjust0.00208742 OX 9.05091 O_Y -0.0518027 
W_X 8.79381 W_Y 0.016437 A 179.407  All_adjust0.00208625 OX 9.00113 O_Y -0.0520975 
W_X 8.74403 W_Y 0.0169521 A 179.407  All_adjust0.00287179 OX 8.95135 O_Y -0.0523923 
W_X 8.69424 W_Y 0.0174672 A 179.407  All_adjust0.00270252 OX 8.90155 O_Y -0.0526872 
W_X 8.64581 W_Y 0.0142856 A 179.49  All_adjust0.00133803 OX 8.85182 O_Y -0.0529817 
W_X 8.59787 W_Y 0.00895983 A 179.616  All_adjust0.000320326 OX 8.80194 O_Y -0.0532771 
W_X 8.54815 W_Y 0.00929301 A 179.616  All_adjust0.00189998 OX 8.75221 O_Y -0.0535717 
W_X 8.49842 W_Y 0.00962619 A 179.616  All_adjust0.00149724 OX 8.70248 O_Y -0.0538662 
W_X 8.40024 W_Y 0.00602506 A 179.675  All_adjust1.28314e-05 OX 8.60293 O_Y -0.0544558 
W_X 8.35406 W_Y -0.00512739 A 179.833  All_adjust-0.00315761 OX 8.55317 O_Y -0.0547505 
W_X 8.30428 W_Y -0.00498193 A 179.833  All_adjust0.000179817 OX 8.5034 O_Y -0.0550453 
W_X 8.2545 W_Y -0.00483646 A 179.833  All_adjust-0.000702193 OX 8.45362 O_Y -0.0553401 
W_X 8.20508 W_Y -0.00600451 A 179.864  All_adjust-0.00119264 OX 8.4038 O_Y -0.0556351 
W_X 8.15708 W_Y -0.0120392 A -179.992  All_adjust-0.00316077 OX 8.35403 O_Y -0.0559299 
W_X 8.10771 W_Y -0.013505 A -179.958  All_adjust-0.00189474 OX 8.30425 O_Y -0.0562248 
W_X 8.05792 W_Y -0.0135414 A -179.958  All_adjust-0.00192269 OX 8.25446 O_Y -0.0565196 
W_X 8.00815 W_Y -0.0135778 A -179.958  All_adjust-0.0020425 OX 8.20469 O_Y -0.0568144 
W_X 7.95916 W_Y -0.019721 A -179.841  All_adjust-0.0044296 OX 8.15492 O_Y -0.0571092 
W_X 7.86 W_Y -0.0230262 A -179.785  All_adjust-0.00375571 OX 8.0554 O_Y -0.0576986 
W_X 7.81023 W_Y -0.0232131 A -179.785  All_adjust-0.00326243 OX 8.00562 O_Y -0.0579934 
W_X 7.76045 W_Y -0.0234001 A -179.785  All_adjust-0.00353992 OX 7.95584 O_Y -0.0582882 
W_X 7.71195 W_Y -0.0270105 A -179.69  All_adjust-0.00490314 OX 7.90607 O_Y -0.058583 
W_X 7.66318 W_Y -0.0300911 A -179.613  All_adjust-0.00496418 OX 7.85629 O_Y -0.0588778 
W_X 7.6134 W_Y -0.030427 A -179.613  All_adjust-0.00439819 OX 7.80651 O_Y -0.0591726 
W_X 7.56362 W_Y -0.0307628 A -179.613  All_adjust-0.00466815 OX 7.75673 O_Y -0.0594674 
W_X 7.46456 W_Y -0.0340127 A -179.564  All_adjust-0.00585501 OX 7.65719 O_Y -0.0600569 
W_X 7.41547 W_Y -0.0383897 A -179.49  All_adjust-0.00654896 OX 7.6074 O_Y -0.0603518 
W_X 7.36569 W_Y -0.0388333 A -179.49  All_adjust-0.00558127 OX 7.55761 O_Y -0.0606467 
W_X 7.31592 W_Y -0.0392767 A -179.49  All_adjust-0.00596246 OX 7.50784 O_Y -0.0609415 
W_X 7.2659 W_Y -0.0426982 A -179.435  All_adjust-0.00719041 OX 7.45806 O_Y -0.0612363 
W_X 7.21563 W_Y -0.0490807 A -179.328  All_adjust-0.00862018 OX 7.40828 O_Y -0.0615311 
W_X 7.16585 W_Y -0.0496649 A -179.328  All_adjust-0.00707935 OX 7.3585 O_Y -0.0618259 
W_X 7.0663 W_Y -0.0508333 A -179.328  All_adjust-0.00785867 OX 7.25895 O_Y -0.0624155 
W_X 7.01631 W_Y -0.0515414 A -179.327  All_adjust-0.00780769 OX 7.20917 O_Y -0.0627103 
W_X 6.96567 W_Y -0.0526207 A -179.323  All_adjust-0.00809548 OX 7.15939 O_Y -0.0630052 
W_X 6.91582 W_Y -0.0532654 A -179.323  All_adjust-0.00805821 OX 7.10963 O_Y -0.0632998 
W_X 6.86604 W_Y -0.053854 A -179.323  All_adjust-0.00816777 OX 7.05985 O_Y -0.0635947 
W_X 6.81637 W_Y -0.0546975 A -179.318  All_adjust-0.00835998 OX 7.01008 O_Y -0.0638895 
W_X 6.76776 W_Y -0.0583326 A -179.269  All_adjust-0.00955484 OX 6.9603 O_Y -0.0641843 
W_X 6.71827 W_Y -0.0597999 A -179.255  All_adjust-0.00903134 OX 6.9105 O_Y -0.0644792 
W_X 6.6685 W_Y -0.060447 A -179.255  All_adjust-0.00910497 OX 6.86072 O_Y -0.064774 
W_X 6.61873 W_Y -0.061094 A -179.255  All_adjust-0.00926762 OX 6.81094 O_Y -0.0650688 
W_X 6.56963 W_Y -0.068358 A -179.101  All_adjust-0.0119453 OX 6.76117 O_Y -0.0653636 
W_X 6.52019 W_Y -0.0727562 A -179.019  All_adjust-0.0113879 OX 6.71138 O_Y -0.0656585 
W_X 6.47043 W_Y -0.0736088 A -179.019  All_adjust-0.0108941 OX 6.66161 O_Y -0.0659532 
