section Arc ahead  
section amcl_linear_Y_ahead  
W_X 11.424 W_Y -0.00287194 A 178.46All_adjust1  0.0399693 flag_plus 0 OX 11.7841 O_Y 0.56042 
W_X 11.3996 W_Y -0.00240099 A 178.462All_adjust1  -0.0198016 flag_plus 0 OX 11.5146 O_Y 0.537688 
W_X 11.3772 W_Y -0.00398387 A 178.486All_adjust1  -0.00117946 flag_plus 0 OX 11.49 O_Y 0.536409 
W_X 11.3532 W_Y -0.00397491 A 178.493All_adjust1  -0.000340108 flag_plus 0 OX 11.4654 O_Y 0.535129 
W_X 11.3286 W_Y -0.00332772 A 178.493All_adjust1  -0.000293492 flag_plus 0 OX 11.4408 O_Y 0.53385 
W_X 11.2772 W_Y -0.00197582 A 179.422All_adjust1  3.26874e-05 flag_plus 0 OX 11.3895 O_Y 0.531177 
W_X 11.2509 W_Y -0.00171083 A 178.926All_adjust1  -0.000388135 flag_plus 0 OX 11.3633 O_Y 0.529388 
W_X 11.2236 W_Y -0.0011983 A 179.217All_adjust1  -5.81342e-05 flag_plus 0 OX 11.336 O_Y 0.52776 
W_X 11.1962 W_Y -0.000824578 A 179.217All_adjust1  -8.60988e-05 flag_plus 0 OX 11.3087 O_Y 0.525994 
W_X 11.1667 W_Y -0.000420895 A 179.217All_adjust1  6.24824e-06 flag_plus 0 OX 11.2792 O_Y 0.524086 
W_X 11.1402 W_Y -0.00766443 A 179.654All_adjust1  -0.00353218 flag_plus 0 OX 11.2492 O_Y 0.522142 
W_X 11.1128 W_Y -0.0135853 A -179.949All_adjust1  -0.00277351 flag_plus 0 OX 11.2191 O_Y 0.520068 
W_X 11.0505 W_Y -0.0136405 A -179.949All_adjust1  -0.00111638 flag_plus 0 OX 11.157 O_Y 0.515504 
W_X 11.0188 W_Y -0.0136685 A -179.949All_adjust1  -0.00205044 flag_plus 0 OX 11.1253 O_Y 0.513182 
W_X 10.9854 W_Y -0.0136981 A -179.949All_adjust1  -0.00205966 flag_plus 0 OX 11.092 O_Y 0.510739 
W_X 10.952 W_Y -0.0137276 A -179.949All_adjust1  -0.00206386 flag_plus 0 OX 11.0588 O_Y 0.508296 
W_X 10.917 W_Y -0.0137585 A -179.949All_adjust1  -0.00206897 flag_plus 0 OX 11.0238 O_Y 0.505733 
W_X 10.8825 W_Y -0.020911 A -179.777All_adjust1  -0.0054205 flag_plus 0 OX 10.9884 O_Y 0.503131 
W_X 10.8476 W_Y -0.0261407 A -179.656All_adjust1  -0.00445018 flag_plus 0 OX 10.9529 O_Y 0.500528 
W_X 10.7754 W_Y -0.0265747 A -179.656All_adjust1  -0.00328838 flag_plus 0 OX 10.8809 O_Y 0.495242 
W_X 10.7382 W_Y -0.0267983 A -179.656All_adjust1  -0.00402186 flag_plus 0 OX 10.8438 O_Y 0.492519 
W_X 10.7004 W_Y -0.0270252 A -179.656All_adjust1  -0.00409061 flag_plus 0 OX 10.8062 O_Y 0.489756 
W_X 10.663 W_Y -0.0289367 A -179.628All_adjust1  -0.00491588 flag_plus 0 OX 10.768 O_Y 0.486955 
W_X 10.6277 W_Y -0.0352924 A -179.531All_adjust1  -0.00702182 flag_plus 0 OX 10.7298 O_Y 0.484151 
W_X 10.5877 W_Y -0.0366985 A -179.514All_adjust1  -0.00493784 flag_plus 0 OX 10.6894 O_Y 0.481188 
W_X 10.5472 W_Y -0.0370422 A -179.514All_adjust1  -0.00544134 flag_plus 0 OX 10.6491 O_Y 0.478224 
W_X 10.5051 W_Y -0.0373998 A -179.514All_adjust1  -0.00566938 flag_plus 0 OX 10.607 O_Y 0.47514 
W_X 10.463 W_Y -0.0377572 A -179.514All_adjust1  -0.00572078 flag_plus 0 OX 10.565 O_Y 0.472056 
W_X 10.4208 W_Y -0.0419912 A -179.448All_adjust1  -0.00759633 flag_plus 0 OX 10.5225 O_Y 0.468933 
W_X 10.3786 W_Y -0.0464112 A -179.382All_adjust1  -0.00769867 flag_plus 0 OX 10.4799 O_Y 0.46581 
W_X 10.3337 W_Y -0.0468956 A -179.382All_adjust1  -0.00648216 flag_plus 0 OX 10.4352 O_Y 0.462523 
W_X 10.2889 W_Y -0.0473801 A -179.382All_adjust1  -0.00718452 flag_plus 0 OX 10.3904 O_Y 0.459237 
W_X 10.1981 W_Y -0.0483599 A -179.382All_adjust1  -0.00749001 flag_plus 0 OX 10.2998 O_Y 0.45259 
W_X 10.1524 W_Y -0.0494212 A -179.591All_adjust1  -0.00759602 flag_plus 0 OX 10.254 O_Y 0.449226 
W_X 10.1076 W_Y -0.0534251 A -179.545All_adjust1  -0.00912521 flag_plus 0 OX 10.2076 O_Y 0.445997 
W_X 10.061 W_Y -0.0548306 A -179.532All_adjust1  -0.00803372 flag_plus 0 OX 10.1607 O_Y 0.442732 
W_X 10.0129 W_Y -0.055224 A -179.532All_adjust1  -0.00818462 flag_plus 0 OX 10.1127 O_Y 0.43939 
W_X 9.96477 W_Y -0.0556174 A -179.532All_adjust1  -0.00840555 flag_plus 0 OX 10.0646 O_Y 0.436048 
section back liner  
W_X 9.27549 W_Y -0.066658 A -179.352All_adjust1  -0.0134687 flag_plus 0 OX 9.9184 O_Y 0.42587 
W_X 9.22571 W_Y -0.0672214 A -179.352All_adjust1  -0.00849699 flag_plus 0 OX 9.32245 O_Y 0.384393 
W_X 9.17582 W_Y -0.0676693 A -179.356All_adjust1  -0.0102036 flag_plus 0 OX 9.27279 O_Y 0.380937 
W_X 9.07465 W_Y -0.0669935 A -179.415All_adjust1  -0.00976109 flag_plus 0 OX 9.17349 O_Y 0.374026 
W_X 9.02426 W_Y -0.0668137 A -179.437All_adjust1  -0.0100726 flag_plus 0 OX 9.12384 O_Y 0.37057 
W_X 8.97449 W_Y -0.067303 A -179.437All_adjust1  -0.0102808 flag_plus 0 OX 9.07418 O_Y 0.367114 
W_X 8.92471 W_Y -0.0677923 A -179.437All_adjust1  -0.0102471 flag_plus 0 OX 9.02452 O_Y 0.363658 
W_X 8.87533 W_Y -0.0702509 A -179.396All_adjust1  -0.0112461 flag_plus 0 OX 8.97485 O_Y 0.360201 
W_X 8.82579 W_Y -0.0719273 A -179.373All_adjust1  -0.0109322 flag_plus 0 OX 8.9252 O_Y 0.356745 
W_X 8.776 W_Y -0.0724722 A -179.373All_adjust1  -0.010777 flag_plus 0 OX 8.87553 O_Y 0.353289 
W_X 8.72622 W_Y -0.0730171 A -179.373All_adjust1  -0.0110398 flag_plus 0 OX 8.82586 O_Y 0.349832 
W_X 8.67702 W_Y -0.0713235 A -179.443All_adjust1  -0.0100694 flag_plus 0 OX 8.7762 O_Y 0.346376 
W_X 8.62782 W_Y -0.0694317 A -179.515All_adjust1  -0.0100803 flag_plus 0 OX 8.72654 O_Y 0.34292 
W_X 8.57805 W_Y -0.0698531 A -179.515All_adjust1  -0.0109155 flag_plus 0 OX 8.67688 O_Y 0.339464 
W_X 8.52827 W_Y -0.0702746 A -179.515All_adjust1  -0.0106086 flag_plus 0 OX 8.62723 O_Y 0.336008 
W_X 8.47764 W_Y -0.073362 A -179.492All_adjust1  -0.0119248 flag_plus 0 OX 8.57757 O_Y 0.332552 
W_X 8.42641 W_Y -0.0783511 A -179.453All_adjust1  -0.0128552 flag_plus 0 OX 8.52791 O_Y 0.329096 
W_X 8.32685 W_Y -0.0793013 A -179.453All_adjust1  -0.011401 flag_plus 0 OX 8.4286 O_Y 0.322184 
W_X 8.27835 W_Y -0.0797642 A -179.453All_adjust1  -0.0119607 flag_plus 0 OX 8.38021 O_Y 0.318816 
W_X 8.229 W_Y -0.0779622 A -179.493All_adjust1  -0.0110436 flag_plus 0 OX 8.33055 O_Y 0.31536 
W_X 8.18039 W_Y -0.0718358 A -179.607All_adjust1  -0.00910327 flag_plus 0 OX 8.28088 O_Y 0.311903 
W_X 8.13063 W_Y -0.0721095 A -179.763All_adjust1  -0.0118842 flag_plus 0 OX 8.23123 O_Y 0.308448 
W_X 8.08083 W_Y -0.0723155 A -179.763All_adjust1  -0.0108695 flag_plus 0 OX 8.18154 O_Y 0.305124 
W_X 8.031 W_Y -0.0715805 A -179.778All_adjust1  -0.0104689 flag_plus 0 OX 8.13185 O_Y 0.301801 
W_X 7.93132 W_Y -0.0667356 A -179.859All_adjust1  -0.00857757 flag_plus 0 OX 8.03254 O_Y 0.295159 
W_X 7.88151 W_Y -0.0659347 A -179.874All_adjust1  -0.0104091 flag_plus 0 OX 7.98287 O_Y 0.291837 
W_X 7.83173 W_Y -0.0660444 A -179.874All_adjust1  -0.0100699 flag_plus 0 OX 7.9332 O_Y 0.288516 
W_X 7.78195 W_Y -0.0659851 A -179.876All_adjust1  -0.0098612 flag_plus 0 OX 7.88353 O_Y 0.285194 
W_X 7.73189 W_Y -0.0563443 A 179.991All_adjust1  -0.00537612 flag_plus 0 OX 7.83387 O_Y 0.281872 
W_X 7.68202 W_Y -0.053026 A 179.946All_adjust1  -0.00843452 flag_plus 0 OX 7.7842 O_Y 0.27855 
W_X 7.58248 W_Y -0.0529324 A 179.946All_adjust1  -0.00844087 flag_plus 0 OX 7.68489 O_Y 0.271908 
W_X 7.53264 W_Y -0.0528856 A 179.946All_adjust1  -0.00793281 flag_plus 0 OX 7.63516 O_Y 0.268582 
W_X 7.48401 W_Y -0.0479207 A 179.828All_adjust1  -0.00560686 flag_plus 0 OX 7.5855 O_Y 0.265261 
W_X 7.43498 W_Y -0.0444259 A 179.749All_adjust1  -0.00633991 flag_plus 0 OX 7.53583 O_Y 0.261939 
W_X 7.38524 W_Y -0.0442082 A 179.749All_adjust1  -0.00712075 flag_plus 0 OX 7.4862 O_Y 0.25862 
W_X 7.33547 W_Y -0.0439904 A 179.749All_adjust1  -0.00656368 flag_plus 0 OX 7.43653 O_Y 0.255298 
W_X 7.28618 W_Y -0.0414097 A 179.693All_adjust1  -0.00542048 flag_plus 0 OX 7.38686 O_Y 0.251976 
W_X 7.23694 W_Y -0.0386004 A 179.635All_adjust1  -0.005304 flag_plus 0 OX 7.33721 O_Y 0.248656 
W_X 7.18713 W_Y -0.0382827 A 179.635All_adjust1  -0.00609022 flag_plus 0 OX 7.28751 O_Y 0.245332 
W_X 7.13736 W_Y -0.0379652 A 179.635All_adjust1  -0.00564404 flag_plus 0 OX 7.23785 O_Y 0.242011 
W_X 7.08717 W_Y -0.0356595 A 179.605All_adjust1  -0.0046619 flag_plus 0 OX 7.18819 O_Y 0.238689 
W_X 7.03656 W_Y -0.031346 A 179.546All_adjust1  -0.00369047 flag_plus 0 OX 7.13852 O_Y 0.235367 
W_X 6.98679 W_Y -0.0309519 A 179.546All_adjust1  -0.00520686 flag_plus 0 OX 7.08885 O_Y 0.232045 
W_X 6.93702 W_Y -0.0305579 A 179.546All_adjust1  -0.00452063 flag_plus 0 OX 7.03919 O_Y 0.228724 
W_X 6.83754 W_Y -0.0267839 A 179.486All_adjust1  -0.00287298 flag_plus 0 OX 6.93986 O_Y 0.222081 
W_X 6.78798 W_Y -0.0141604 A 179.245All_adjust1  0.00131167 flag_plus 0 OX 6.89017 O_Y 0.218758 
W_X 6.73824 W_Y -0.0121488 A 179.218All_adjust1  -0.0031984 flag_plus 0 OX 6.84051 O_Y 0.215436 
W_X 6.68848 W_Y -0.01147 A 179.218All_adjust1  -0.00182515 flag_plus 0 OX 6.79087 O_Y 0.212116 
W_X 6.63872 W_Y -0.00928969 A 179.196All_adjust1  -0.000804347 flag_plus 0 OX 6.74118 O_Y 0.208793 
W_X 6.58908 W_Y 0.00188863 A 179.039All_adjust1  0.0035115 flag_plus 0 OX 6.69149 O_Y 0.20547 
W_X 6.48959 W_Y 0.00590433 A 179.005All_adjust1  0.000382145 flag_plus 0 OX 6.59217 O_Y 0.198828 
W_X 6.43979 W_Y 0.00676904 A 179.005All_adjust1  0.00064955 flag_plus 0 OX 6.54248 O_Y 0.195504 
W_X 6.39002 W_Y 0.00763327 A 179.005All_adjust1  0.00128319 flag_plus 0 OX 6.49281 O_Y 0.192182 
W_X 6.34304 W_Y 0.0109339 A 179.003All_adjust1  0.00255802 flag_plus 0 OX 6.44315 O_Y 0.188861 
W_X 6.29435 W_Y 0.0127521 A 179.002All_adjust1  0.00196652 flag_plus 0 OX 6.39347 O_Y 0.185539 
W_X 6.24459 W_Y 0.0136195 A 179.002All_adjust1  0.00202958 flag_plus 0 OX 6.34381 O_Y 0.182217 
W_X 6.19482 W_Y 0.0144869 A 179.002All_adjust1  0.00231181 flag_plus 0 OX 6.29415 O_Y 0.178896 
W_X 6.09594 W_Y 0.0215424 A 178.867All_adjust1  0.00535037 flag_plus 0 OX 6.19483 O_Y 0.172253 
W_X 6.04656 W_Y 0.0261631 A 178.778All_adjust1  0.00427419 flag_plus 0 OX 6.14514 O_Y 0.16893 
W_X 5.99679 W_Y 0.0272251 A 178.778All_adjust1  0.00368431 flag_plus 0 OX 6.09547 O_Y 0.165608 
W_X 5.94702 W_Y 0.0282871 A 178.778All_adjust1  0.00441297 flag_plus 0 OX 6.04581 O_Y 0.162287 
W_X 5.89679 W_Y 0.0350391 A 178.665All_adjust1  0.00724657 flag_plus 0 OX 5.99614 O_Y 0.158965 
W_X 5.84644 W_Y 0.0431455 A 178.529All_adjust1  0.00798559 flag_plus 0 OX 5.94647 O_Y 0.155643 
W_X 5.79669 W_Y 0.0444233 A 178.529All_adjust1  0.00577533 flag_plus 0 OX 5.89681 O_Y 0.152322 
W_X 5.69716 W_Y 0.046979 A 178.529All_adjust1  0.00766026 flag_plus 0 OX 5.79747 O_Y 0.145678 
W_X 5.64869 W_Y 0.0522183 A 178.612All_adjust1  0.00910037 flag_plus 0 OX 5.74783 O_Y 0.142358 
W_X 5.60134 W_Y 0.0611861 A 178.45All_adjust1  0.0112093 flag_plus 0 OX 5.69817 O_Y 0.138891 
W_X 5.55158 W_Y 0.0625323 A 178.45All_adjust1  0.00837578 flag_plus 0 OX 5.64851 O_Y 0.135425 
W_X 5.50181 W_Y 0.0638785 A 178.45All_adjust1  0.00979718 flag_plus 0 OX 5.59885 O_Y 0.131958 
W_X 5.45157 W_Y 0.0692327 A 178.377All_adjust1  0.0118828 flag_plus 0 OX 5.5492 O_Y 0.128492 
W_X 5.40033 W_Y 0.0826408 A 178.16All_adjust1  0.01583 flag_plus 0 OX 5.49954 O_Y 0.125025 
W_X 5.35039 W_Y 0.0855494 A 178.136All_adjust1  0.0116178 flag_plus 0 OX 5.44985 O_Y 0.121557 
W_X 5.30064 W_Y 0.0871682 A 178.136All_adjust1  0.0131279 flag_plus 0 OX 5.4002 O_Y 0.11809 
W_X 5.25089 W_Y 0.0891958 A 178.129All_adjust1  0.0137692 flag_plus 0 OX 5.35054 O_Y 0.114624 
W_X 5.20118 W_Y 0.0953304 A 178.277All_adjust1  0.0159382 flag_plus 0 OX 5.30088 O_Y 0.111157 
W_X 5.15141 W_Y 0.0980271 A 178.257All_adjust1  0.0145855 flag_plus 0 OX 5.25121 O_Y 0.107496 
W_X 5.10163 W_Y 0.0995415 A 178.257All_adjust1  0.0149844 flag_plus 0 OX 5.20154 O_Y 0.103834 
W_X 5.00217 W_Y 0.102567 A 178.257All_adjust1  0.0161111 flag_plus 0 OX 5.1023 O_Y 0.0965187 
W_X 4.95173 W_Y 0.107719 A 178.174All_adjust1  0.0173222 flag_plus 0 OX 5.05263 O_Y 0.0928574 
W_X 4.90167 W_Y 0.111017 A 178.309All_adjust1  0.0168837 flag_plus 0 OX 5.00299 O_Y 0.0891978 
W_X 4.85191 W_Y 0.112486 A 178.532All_adjust1  0.0168151 flag_plus 0 OX 4.95336 O_Y 0.0853884 
W_X 4.80211 W_Y 0.113762 A 178.699All_adjust1  0.0172377 flag_plus 0 OX 4.90371 O_Y 0.081383 
W_X 4.75088 W_Y 0.128832 A 178.64All_adjust1  0.0239429 flag_plus 0 OX 4.8541 O_Y 0.0772356 
W_X 4.69993 W_Y 0.140819 A 178.637All_adjust1  0.0225474 flag_plus 0 OX 4.8045 O_Y 0.0729328 
W_X 4.6004 W_Y 0.143187 A 178.637All_adjust1  0.0203179 flag_plus 0 OX 4.70534 O_Y 0.0640175 
W_X 4.49932 W_Y 0.149468 A 178.566All_adjust1  0.0240512 flag_plus 0 OX 4.60649 O_Y 0.0551301 
W_X 4.4473 W_Y 0.155544 A 178.74All_adjust1  0.0242712 flag_plus 0 OX 4.55691 O_Y 0.0506724 
W_X 4.39753 W_Y 0.156639 A 179.229All_adjust1  0.0228738 flag_plus 0 OX 4.50736 O_Y 0.04599 
W_X 4.34775 W_Y 0.157309 A 179.229All_adjust1  0.0236355 flag_plus 0 OX 4.45784 O_Y 0.0408848 
W_X 4.29779 W_Y 0.161338 A 179.191All_adjust1  0.0253831 flag_plus 0 OX 4.40832 O_Y 0.0357797 
W_X 4.19786 W_Y 0.169707 A 179.523All_adjust1  0.0274892 flag_plus 0 OX 4.30929 O_Y 0.0255693 
W_X 4.14809 W_Y 0.170121 A 179.733All_adjust1  0.0243117 flag_plus 0 OX 4.25982 O_Y 0.0201121 
W_X 4.09831 W_Y 0.170353 A 179.993All_adjust1  0.0255607 flag_plus 0 OX 4.21036 O_Y 0.0144728 
W_X 4.04839 W_Y 0.17269 A -179.765All_adjust1  0.0266145 flag_plus 0 OX 4.16096 O_Y 0.0086128 
W_X 3.99787 W_Y 0.182377 A -179.869All_adjust1  0.0300825 flag_plus 0 OX 4.11156 O_Y 0.00251968 
W_X 3.94794 W_Y 0.184236 A -179.574All_adjust1  0.0266802 flag_plus 0 OX 4.06215 O_Y -0.0035733 
W_X 3.89816 W_Y 0.183866 A -179.258All_adjust1  0.0271639 flag_plus 0 OX 4.01278 O_Y -0.00993851 
W_X 3.84848 W_Y 0.183475 A -178.664All_adjust1  0.0274556 flag_plus 0 OX 3.96341 O_Y -0.0165805 
W_X 3.80031 W_Y 0.185469 A -178.416All_adjust1  0.0285209 flag_plus 0 OX 3.91415 O_Y -0.0237282 
W_X 3.75116 W_Y 0.185247 A -178.137All_adjust1  0.0273967 flag_plus 0 OX 3.86495 O_Y -0.0310843 
W_X 3.70141 W_Y 0.183629 A -177.977All_adjust1  0.0270622 flag_plus 0 OX 3.81576 O_Y -0.0386836 
W_X 3.65167 W_Y 0.181871 A -177.816All_adjust1  0.0269771 flag_plus 0 OX 3.76658 O_Y -0.0464214 
W_X 3.60432 W_Y 0.182205 A -177.569All_adjust1  0.027719 flag_plus 0 OX 3.71743 O_Y -0.0542972 
W_X 3.50631 W_Y 0.179312 A -177.325All_adjust1  0.0259173 flag_plus 0 OX 3.61921 O_Y -0.0704595 
W_X 3.45656 W_Y 0.176988 A -176.818All_adjust1  0.0262673 flag_plus 0 OX 3.57011 O_Y -0.0787525 
W_X 3.40686 W_Y 0.174224 A -176.595All_adjust1  0.0256212 flag_plus 0 OX 3.5211 O_Y -0.0874762 
W_X 3.35907 W_Y 0.178041 A -176.501All_adjust1  0.0283698 flag_plus 0 OX 3.47213 O_Y -0.0963901 
W_X 3.31115 W_Y 0.181432 A -176.357All_adjust1  0.0276893 flag_plus 0 OX 3.42318 O_Y -0.105479 
W_X 3.26147 W_Y 0.178269 A -176.202All_adjust1  0.0251857 flag_plus 0 OX 3.37428 O_Y -0.114778 
W_X 3.21181 W_Y 0.174973 A -176.048All_adjust1  0.025697 flag_plus 0 OX 3.32541 O_Y -0.12421 
W_X 3.11385 W_Y 0.166265 A -175.496All_adjust1  0.0226806 flag_plus 0 OX 3.22771 O_Y -0.143337 
W_X 3.06613 W_Y 0.159684 A -175.177All_adjust1  0.02324 flag_plus 0 OX 3.17894 O_Y -0.153312 
W_X 3.01653 W_Y 0.155499 A -174.967All_adjust1  0.0230386 flag_plus 0 OX 3.13021 O_Y -0.163475 
W_X 2.96694 W_Y 0.151132 A -174.713All_adjust1  0.0219417 flag_plus 0 OX 3.08151 O_Y -0.173819 
section back liner  
W_X 2.32017 W_Y 0.0850652 A -171.915All_adjust1  -0.00768266 flag_plus 0 OX 2.98428 O_Y -0.195242 
W_X 2.27091 W_Y 0.0780677 A -171.667All_adjust1  0.0200416 flag_plus 0 OX 2.40395 O_Y -0.336498 
W_X 2.22166 W_Y 0.0708536 A -171.438All_adjust1  0.00943915 flag_plus 0 OX 2.3559 O_Y -0.3495 
W_X 2.17452 W_Y 0.0676637 A -171.407All_adjust1  0.010283 flag_plus 0 OX 2.3079 O_Y -0.362694 
W_X 2.12628 W_Y 0.0621993 A -171.392All_adjust1  0.0080917 flag_plus 0 OX 2.25991 O_Y -0.375888 
W_X 2.07761 W_Y 0.0548304 A -171.076All_adjust1  0.00674082 flag_plus 0 OX 2.21243 O_Y -0.388938 
W_X 2.02949 W_Y 0.0472756 A -170.761All_adjust1  0.00585282 flag_plus 0 OX 2.16554 O_Y -0.402105 
W_X 1.98147 W_Y 0.0421035 A -170.73All_adjust1  0.00586922 flag_plus 0 OX 2.11976 O_Y -0.415234 
W_X 1.93428 W_Y 0.0364409 A -170.707All_adjust1  -0.05 flag_plus 1 OX 2.07457 O_Y -0.428193 
W_X 1.88836 W_Y 0.0289266 A -170.707All_adjust1  -0.05 flag_plus 2 OX 2.02984 O_Y -0.44102 
W_X 1.84359 W_Y 0.0216009 A -170.707All_adjust1  -0.05 flag_plus 3 OX 1.98624 O_Y -0.453525 
W_X 1.79859 W_Y 0.0126152 A -170.616All_adjust1  -0.05 flag_plus 4 OX 1.94255 O_Y -0.466053 
W_X 1.75354 W_Y 0.00278007 A -170.487All_adjust1  -0.05 flag_plus 5 OX 1.89886 O_Y -0.478581 
W_X 1.66615 W_Y -0.0118638 A -171.577All_adjust1  -0.00489202 flag_plus 5 OX 1.81369 O_Y -0.503006 
W_X 1.62341 W_Y -0.0181934 A -172.079All_adjust1  -0.00241144 flag_plus 5 OX 1.77193 O_Y -0.514126 
W_X 1.58114 W_Y -0.0240737 A -172.525All_adjust1  -0.00448004 flag_plus 5 OX 1.7306 O_Y -0.524745 
W_X 1.53938 W_Y -0.0295534 A -172.89All_adjust1  -0.00524567 flag_plus 5 OX 1.68973 O_Y -0.534909 
W_X 1.49994 W_Y -0.0363803 A -173.177All_adjust1  -0.00676486 flag_plus 5 OX 1.64932 O_Y -0.544684 
W_X 1.46107 W_Y -0.041863 A -173.153All_adjust1  -0.00694164 flag_plus 5 OX 1.61045 O_Y -0.553841 
W_X 1.42142 W_Y -0.0466236 A -173.153All_adjust1  -0.00763971 flag_plus 5 OX 1.57158 O_Y -0.562999 
W_X 1.34321 W_Y -0.0560146 A -172.794All_adjust1  -0.0106456 flag_plus 5 OX 1.49491 O_Y -0.581063 
W_X 1.30469 W_Y -0.0608855 A -173.017All_adjust1  -0.00918895 flag_plus 5 OX 1.45717 O_Y -0.590205 
W_X 1.26641 W_Y -0.0648451 A -173.059All_adjust1  -0.0102145 flag_plus 5 OX 1.41991 O_Y -0.599075 
W_X 1.22831 W_Y -0.067669 A -173.159All_adjust1  -0.0104205 flag_plus 5 OX 1.3832 O_Y -0.607817 
W_X 1.19136 W_Y -0.0720671 A -173.161All_adjust1  -0.0117656 flag_plus 5 OX 1.34701 O_Y -0.616434 
W_X 1.15497 W_Y -0.0764321 A -173.161All_adjust1  -0.0121579 flag_plus 5 OX 1.31135 O_Y -0.624924 
W_X 1.11857 W_Y -0.0807971 A -173.161All_adjust1  -0.012818 flag_plus 5 OX 1.2757 O_Y -0.633414 
W_X 1.04797 W_Y -0.0892652 A -173.161All_adjust1  -0.0154012 flag_plus 5 OX 1.20652 O_Y -0.649885 
