obstacle_x 1.71601 obstacle_y -0.0409869  x = 0.235692 y = 0.0295908
obstacle_x 1.71702 obstacle_y -0.015141  x = 0.235692 y = 0.0295908
obstacle_x 1.72468 obstacle_y 0.0366168  x = 0.235692 y = 0.0295908
obstacle_x 1.73132 obstacle_y 0.0627572  x = 0.235692 y = 0.0295908
obstacle_x 1.73052 obstacle_y 0.0888545  x = 0.235692 y = 0.0295908
obstacle_x 1.72826 obstacle_y 0.114877  x = 0.235692 y = 0.0295908
obstacle_x 1.72355 obstacle_y 0.140689  x = 0.235692 y = 0.0295908
obstacle_x 1.81486 obstacle_y 0.550943  x = 0.235692 y = 0.0295908
obstacle_x 1.80363 obstacle_y 0.577764  x = 0.235692 y = 0.0295908
obstacle_x 1.80133 obstacle_y 0.607816  x = 0.235692 y = 0.0295908
obstacle_x 1.80311 obstacle_y 0.639768  x = 0.235692 y = 0.0295908
obstacle_x 1.79315 obstacle_y 0.66741  x = 0.235692 y = 0.0295908
obstacle_x 1.78637 obstacle_y 0.696469  x = 0.235692 y = 0.0295908
obstacle_x 1.78544 obstacle_y 0.728363  x = 0.235692 y = 0.0295908
else R = 9.95185
obstacle_x 1.70744 obstacle_y -0.0139924  x = 0.252099 y = 0.0299546
obstacle_x 1.71608 obstacle_y 0.0368626  x = 0.252099 y = 0.0299546
obstacle_x 1.71474 obstacle_y 0.0623894  x = 0.252099 y = 0.0299546
obstacle_x 1.71595 obstacle_y 0.0879903  x = 0.252099 y = 0.0299546
obstacle_x 1.7207 obstacle_y 0.113871  x = 0.252099 y = 0.0299546
obstacle_x 1.71602 obstacle_y 0.139266  x = 0.252099 y = 0.0299546
obstacle_x 1.81227 obstacle_y 0.545037  x = 0.252099 y = 0.0299546
obstacle_x 1.79361 obstacle_y 0.568887  x = 0.252099 y = 0.0299546
obstacle_x 1.78678 obstacle_y 0.596747  x = 0.252099 y = 0.0299546
obstacle_x 1.78784 obstacle_y 0.627798  x = 0.252099 y = 0.0299546
obstacle_x 1.78272 obstacle_y 0.656783  x = 0.252099 y = 0.0299546
obstacle_x 1.7743 obstacle_y 0.684586  x = 0.252099 y = 0.0299546
obstacle_x 1.76903 obstacle_y 0.71393  x = 0.252099 y = 0.0299546
else R = 9.13998
obstacle_x 1.70286 obstacle_y -0.0129946  x = 0.268512 y = 0.0303186
obstacle_x 1.7085 obstacle_y 0.0371133  x = 0.268512 y = 0.0303186
obstacle_x 1.70816 obstacle_y 0.0622435  x = 0.268512 y = 0.0303186
obstacle_x 1.70938 obstacle_y 0.0874431  x = 0.268512 y = 0.0303186
obstacle_x 1.71316 obstacle_y 0.112866  x = 0.268512 y = 0.0303186
obstacle_x 1.7105 obstacle_y 0.137992  x = 0.268512 y = 0.0303186
obstacle_x 1.80874 obstacle_y 0.538817  x = 0.268512 y = 0.0303186
obstacle_x 1.78453 obstacle_y 0.56034  x = 0.268512 y = 0.0303186
obstacle_x 1.78537 obstacle_y 0.590529  x = 0.268512 y = 0.0303186
obstacle_x 1.78002 obstacle_y 0.61873  x = 0.268512 y = 0.0303186
obstacle_x 1.77415 obstacle_y 0.646915  x = 0.268512 y = 0.0303186
obstacle_x 1.77051 obstacle_y 0.676258  x = 0.268512 y = 0.0303186
obstacle_x 1.76994 obstacle_y 0.707306  x = 0.268512 y = 0.0303186
else R = 8.49959
obstacle_x 1.71926 obstacle_y -0.0126309  x = 0.284911 y = 0.0306822
obstacle_x 1.7249 obstacle_y 0.037477  x = 0.284911 y = 0.0306822
obstacle_x 1.72456 obstacle_y 0.0626071  x = 0.284911 y = 0.0306822
obstacle_x 1.72578 obstacle_y 0.0878068  x = 0.284911 y = 0.0306822
obstacle_x 1.72955 obstacle_y 0.11323  x = 0.284911 y = 0.0306822
obstacle_x 1.7269 obstacle_y 0.138355  x = 0.284911 y = 0.0306822
obstacle_x 1.82514 obstacle_y 0.539181  x = 0.284911 y = 0.0306822
obstacle_x 1.80093 obstacle_y 0.560704  x = 0.284911 y = 0.0306822
obstacle_x 1.80177 obstacle_y 0.590892  x = 0.284911 y = 0.0306822
obstacle_x 1.79642 obstacle_y 0.619094  x = 0.284911 y = 0.0306822
obstacle_x 1.79055 obstacle_y 0.647278  x = 0.284911 y = 0.0306822
obstacle_x 1.78691 obstacle_y 0.676622  x = 0.284911 y = 0.0306822
obstacle_x 1.78634 obstacle_y 0.70767  x = 0.284911 y = 0.0306822
else R = 8.49959
obstacle_x 1.82858 obstacle_y -0.0417699  x = 0.301318 y = 0.0310461
obstacle_x 1.70468 obstacle_y -0.0113314  x = 0.301318 y = 0.0310461
obstacle_x 1.7153 obstacle_y 0.0377181  x = 0.301318 y = 0.0310461
obstacle_x 1.71397 obstacle_y 0.0623724  x = 0.301318 y = 0.0310461
obstacle_x 1.71521 obstacle_y 0.087101  x = 0.301318 y = 0.0310461
obstacle_x 1.71302 obstacle_y 0.111711  x = 0.301318 y = 0.0310461
obstacle_x 1.71339 obstacle_y 0.136485  x = 0.301318 y = 0.0310461
obstacle_x 1.81401 obstacle_y 0.530453  x = 0.301318 y = 0.0310461
obstacle_x 1.79563 obstacle_y 0.553477  x = 0.301318 y = 0.0310461
obstacle_x 1.79097 obstacle_y 0.581209  x = 0.301318 y = 0.0310461
obstacle_x 1.78673 obstacle_y 0.6093  x = 0.301318 y = 0.0310461
obstacle_x 1.78474 obstacle_y 0.638547  x = 0.301318 y = 0.0310461
obstacle_x 1.78035 obstacle_y 0.667109  x = 0.301318 y = 0.0310461
obstacle_x 1.7672 obstacle_y 0.692003  x = 0.301318 y = 0.0310461
obstacle_x 1.76358 obstacle_y 0.721327  x = 0.301318 y = 0.0310461
else R = 11.6332
obstacle_x 1.6961 obstacle_y -0.010213  x = 0.317725 y = 0.0314099
obstacle_x 1.70371 obstacle_y 0.0379498  x = 0.317725 y = 0.0314099
obstacle_x 1.70338 obstacle_y 0.0621376  x = 0.317725 y = 0.0314099
obstacle_x 1.70364 obstacle_y 0.0863556  x = 0.317725 y = 0.0314099
obstacle_x 1.70546 obstacle_y 0.110706  x = 0.317725 y = 0.0314099
obstacle_x 1.70486 obstacle_y 0.134988  x = 0.317725 y = 0.0314099
obstacle_x 1.70284 obstacle_y 0.159181  x = 0.317725 y = 0.0314099
obstacle_x 1.77736 obstacle_y 0.570487  x = 0.317725 y = 0.0314099
obstacle_x 1.77425 obstacle_y 0.598418  x = 0.317725 y = 0.0314099
obstacle_x 1.77339 obstacle_y 0.627541  x = 0.317725 y = 0.0314099
obstacle_x 1.77562 obstacle_y 0.658386  x = 0.317725 y = 0.0314099
obstacle_x 1.76355 obstacle_y 0.683324  x = 0.317725 y = 0.0314099
obstacle_x 1.73839 obstacle_y 0.702054  x = 0.317725 y = 0.0314099
obstacle_x 1.74619 obstacle_y 0.736483  x = 0.317725 y = 0.0314099
else R = 6.96562
obstacle_x 1.72891 obstacle_y -0.00948536  x = 0.350538 y = 0.0321375
obstacle_x 1.73652 obstacle_y 0.0386775  x = 0.350538 y = 0.0321375
obstacle_x 1.7362 obstacle_y 0.0628653  x = 0.350538 y = 0.0321375
obstacle_x 1.73645 obstacle_y 0.0870833  x = 0.350538 y = 0.0321375
obstacle_x 1.73827 obstacle_y 0.111434  x = 0.350538 y = 0.0321375
obstacle_x 1.73768 obstacle_y 0.135715  x = 0.350538 y = 0.0321375
